RGIId,REGION,O2Region,CenLon,CenLat,Area,WGMS_ID,N_gla_anom_used,ID_gla_anom_used,min_dist_gla_anom,max_dist_gla_anom,mean_dist_gla_anom,period_reg_obs,N_gla_anom_neighbour_reg,ID_gla_anom_neighbour_reg,period_neighbour_reg_obs,N_geo_obs,period_geo_obs
RGI60-17.04056,SAN,1,-73.0276,-52.8856,5.6,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04057,SAN,1,-73.3171,-52.8784,0.036,70530.0,1.0,[2000],385.7,385.7,385.7,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04058,SAN,1,-72.5218,-52.8631,0.018,70531.0,1.0,[2000],344.3,344.3,344.3,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04059,SAN,1,-73.2198,-52.8825,1.286,70532.0,1.0,[2000],380.1,380.1,380.1,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04060,SAN,1,-73.2992,-52.8747,0.037,37084.0,1.0,[2000],384.9,384.9,384.9,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04061,SAN,1,-72.5198,-52.8678,1.125,28657.0,1.0,[2000],343.9,343.9,343.9,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04062,SAN,1,-73.313,-52.8743,0.015,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04063,SAN,1,-73.309,-52.8736,0.016,37085.0,1.0,[2000],385.5,385.5,385.5,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
RGI60-17.04064,SAN,1,-73.3022,-52.8802,0.955,28658.0,1.0,[2000],384.7,384.7,384.7,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04065,SAN,1,-72.7569,-52.8765,3.187,28659.0,1.0,[2000],355.6,355.6,355.6,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04066,SAN,1,-72.8014,-52.8704,1.565,28660.0,1.0,[2000],358.4,358.4,358.4,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04067,SAN,1,-73.0308,-52.8712,1.401,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04068,SAN,1,-72.7923,-52.8642,0.816,28661.0,1.0,[2000],358.4,358.4,358.4,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04069,SAN,1,-73.2156,-52.87,0.611,28662.0,1.0,[2000],380.7,380.7,380.7,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04070,SAN,1,-73.2314,-52.8717,1.264,28663.0,1.0,[2000],381.4,381.4,381.4,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04071,SAN,1,-72.7866,-52.8591,0.154,no_WGMS_ID,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04072,SAN,1,-72.3476,-52.8564,0.901,28664.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04073,SAN,1,-73.0935,-52.8834,11.095,2051.0,1.0,[2000],372.9,372.9,372.9,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04074,SAN,1,-72.372,-52.8454,0.098,28665.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04075,SAN,1,-73.1859,-52.865,1.284,28666.0,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs,no_obs
RGI60-17.04076,SAN,1,-72.7469,-52.8507,0.013,28667.0,1.0,[2000],356.9,356.9,356.9,2001-2023,1.0,['1344'],1976-2001,1.0,['2000.17 - 2018.25']
RGI60-17.04077,SAN,1,-72.3473,-52.8457,0.391,28668.0,1.0,[2000],336.7,336.7,336.7,2001-2023,1.0,['1344'],1976-2001,1.0,['1999.92 - 2019.92']
RGI60-17.04078,SAN,1,-73.1965,-52.8563,0.02,28669.0,1.0,[2000],380.5,380.5,380.5,2001-2023,1.0,['1344'],1976-2001,2.0,"['2000.17 - 2018.25', '1999.92 - 2019.92']"
